subclass,Zdhhc1,Zdhhc2,Zdhhc3,Zdhhc4,Zdhhc5,Zdhhc6,Zdhhc7,Zdhhc8,Zdhhc9,Zdhhc11,Zdhhc12,Zdhhc13,Zdhhc14,Zdhhc15,Zdhhc16,Zdhhc17,Zdhhc18,Zdhhc19,Zdhhc20,Zdhhc21,Zdhhc22,Zdhhc23,Zdhhc24,Zdhhc25,Abhd4,Abhd6,Abhd10,Abhd11,Abhd12,Abhd13,Abhd16a,Abhd17a,Abhd17b,Abhd17c,Golga7,Golga7b,Lypla1,Lypla2,Ppt1,Selenok
190 ND-INC Foxd2 Glut,3.413107514831255,4.975054327047096,4.741855329837439,1.1718887356092345,4.28033598324038,3.2939312934875487,2.0543553748220766,3.768665259739138,2.0613617708098215,0.0,0.08242870186859706,2.0545647693130205,3.142150524427306,0.9106800781106049,1.3987324687669862,6.333579156983573,2.7479180866817257,0.23568541148923478,6.183240129362862,6.012426752414344,3.2345116084476686,1.1632685643322063,2.2561619983529146,0.0,1.22572915509062,3.7587126821841834,3.1545275607199037,2.118884562546352,6.279959045266206,3.131395055662911,3.068736580182921,4.476143675030403,4.53998162431537,1.5175745226302237,4.364158145436701,3.9347760866273123,3.4055017219399506,3.4047443470864924,5.304268462702913,6.592430395450232
191 PAG-MRN Rln3 Gaba,3.3601861083716678,5.847305728678117,3.589791092956275,1.6239729492287887,3.515787060846362,3.9088481988823203,2.2283796887648735,3.6655694403146444,2.584634664811586,0.0,0.5370045555265326,2.5685745467219436,5.057102443879111,2.4849432748660707,1.03013417177033,6.109053588750069,3.027524031045144,0.22167249729758814,6.994935602472539,5.329677506497032,2.709301117219423,0.5321878383034154,1.8137275921671014,0.0,1.2430044600838108,4.487395334662053,2.8573378063084784,2.1016603070392943,6.4758959987707305,1.763621355357923,3.415870764799285,3.6168713851978906,4.832215367702016,1.4688639055218613,3.743204751558471,4.616835298245413,3.4570793760450265,3.9489109976249828,5.808332106523347,7.013172208217153
192 PPN-CUN-PCG Otp En1 Gaba,3.49053321744334,5.932634735695203,3.9906157321298066,1.1209281945632676,3.555612218949387,3.450950192009172,1.7707564590157272,3.2764545464185058,1.957752218415447,0.02606378240835134,0.07847666281213746,2.153329831242378,4.626430139703266,0.769258900489572,1.1761802780242474,6.224675476459216,2.3674895392360598,0.10734798507807986,6.936210863028175,5.949546856762632,3.2466794061366877,0.821472093945108,1.517806676760293,0.0,1.0086478299830104,3.3616828756817316,2.7390018415010213,1.7945499269547192,6.2525509366269105,2.075040793382148,2.907359110372276,3.3532970333687144,4.480118682645319,1.7723410814679093,3.487875310959544,3.8773192156261214,3.2993829492795266,2.7984824983291157,5.3989599439873714,6.418553215329562
193 MRN-PPN-CUN Pax8 Gaba,3.2072624893564927,5.936715654636684,3.9510006935972917,0.9256059888162111,3.5699841306920637,3.416297540852898,1.4536664164380024,3.335016101075892,1.8011066103190707,0.011505599607501114,0.10846330722173055,2.0490580880851077,5.212064985120506,0.9567064757932696,0.9094868788593694,6.20296410405845,2.1008951609071933,0.15719557645028098,6.878038873275121,5.984059026889634,1.9490667032568079,0.9807354577800684,1.2772599317525561,0.0,0.8625170031660482,3.5713717806757543,2.4158423788714827,1.6881419232017116,6.160216323639217,2.0671328646049165,2.795520106428548,3.1880516650383934,4.676002674981167,1.4051550545713358,3.2657003107300975,3.693088671617341,2.719212199512281,2.297115177961818,5.177584039014683,6.149009674787521
194 MRN-VTN-PPN Pax5 Cdh23 Gaba,3.1641980349630505,6.135963004517865,4.218158849261024,1.2249191610457062,4.137075200096353,3.822579600787782,1.8578490783254822,4.189875191295302,2.2760137948509933,0.0027853151807537323,0.28665477792163946,2.4447880965935718,4.186882840155007,1.4437696030000589,1.0289065199238914,6.426241804252971,2.7976636197659874,0.0918049036295383,7.116549507751094,6.177564164454287,4.4976325507287855,1.396361329532289,1.5733361561577042,0.0,1.1076722566957597,3.8567745217255185,2.936186663516156,1.961273809725588,6.735644088163005,2.579073932844323,3.050302400991514,3.4977077385047814,5.085896255521031,1.8002926455689716,4.1068196151550715,4.246392112273674,3.1107905226481427,3.2394090947005654,5.831948641058687,6.5563747000384645
195 SNr-VTA Pax5 Npas1 Gaba,3.767928697070013,6.1491950554303845,5.55544375424676,1.6269549963012615,4.657422930239366,4.01306347600345,2.766108405052509,4.669104511288812,2.7630343522570175,0.01574102889953937,0.10648732665995388,2.8647024944543205,4.591054791480857,1.2160689467144266,1.5727791675522094,6.585080663152335,3.892455425755731,0.12309049895967034,6.679755379097531,6.856572490155855,5.149059210278944,1.088744015529238,2.6627717678995917,0.0,1.702569214039203,5.253657334363113,3.6775010466891827,3.0661954304267622,7.165519168585618,3.4441138616607425,3.7091508534606,4.890742454984144,5.140295940305573,2.328717828745551,4.830540930244587,3.9260607764954907,4.382049712641486,4.4384157025213264,6.274035945178976,6.590995725965627
196 PAG-PPN Pax5 Sox21 Gaba,3.300123721067252,6.338857380831265,4.070973041377359,1.2004764685499127,3.626423919812227,3.4983810539076314,1.930631657441457,3.9028526917246906,2.302896607204302,0.013274300615698158,0.24363805862103224,2.247528316589032,4.688926623888035,1.2525310462278256,1.1368774455444817,6.378864889079062,2.2252047659142247,0.16151797900773598,6.97779744169886,6.06093641357309,2.705668798565159,1.0546493961731123,1.4430404890923811,0.0,1.0677028890897537,4.082680452622371,2.576951192798464,2.169055207476343,6.321279572311943,1.8043101398197152,2.95014570944408,3.414591128891977,4.631636495303355,1.7874549555590402,3.3109881803834225,3.527066470955956,3.024076401717094,2.8439388576108793,5.505532198873968,6.502996088014787
197 SNr Six3 Gaba,3.4719697095238766,5.752719675966084,5.234416812008154,1.326979405438707,4.665246721726753,3.9060510067265275,2.419799571805735,4.249246332529647,2.4826133405549857,0.012006796387867722,0.07759802145155947,2.74253801188781,5.459507134999296,1.2065297590855726,1.5619414488586383,6.590488835508601,3.5412206356161335,0.07893599145098693,6.872877091777568,6.480400001222528,5.495330488740517,0.8695209752833818,2.782668869399756,0.0,1.5341632116184865,5.18365800472987,3.874565794298466,2.6921174829900476,7.012876374380929,3.1829167553272826,3.354814274054359,4.294887178301559,4.746119998694305,2.183548442751987,4.45307986959448,3.8086009748715233,4.189272944479237,3.737534398851388,5.8353317554025566,6.541661358483655
198 IC Six3 En2 Gaba,3.115413926396223,5.377477205218929,4.041206167875763,1.135158666620242,3.5759864406796886,3.322976112469248,1.658516812365934,3.3673333617536287,2.1913279294450025,0.020904805988422745,0.11457257844342701,2.3316571542194913,4.264792858130819,1.0137112142726021,1.0924175125176732,6.299056104303079,2.4262849906709367,0.09289877237675245,6.597009425778209,5.999051794817382,3.083335897480463,0.6706651732862591,1.3161641013554992,0.0008317608963754763,0.960859947032738,4.009765834535043,2.4620357000253223,1.8141529585970415,6.327846003262001,2.2595656136559548,2.720958689839955,3.4185002550993904,4.655053648853427,1.7517733792351786,3.4736365806626797,3.911864561098739,3.1561515938961344,2.756687508838569,5.2904451575115665,6.3325198253651465
199 PAG-MRN-RN Foxa2 Gaba,3.474308915135281,5.9089664064482035,4.540443648752624,1.3086477407688972,3.883712977634001,3.6453957162042667,1.9860147068113774,4.1210773871358395,2.3470583682181747,0.009054100091150638,0.178548235416116,2.3245027336443043,5.40617995235474,1.1887631693413867,1.0720258646681118,6.401183829832107,2.612820959150458,0.10840472128911371,7.051517386996576,6.117468276773646,2.8457164791076357,1.068493426549946,1.6715103836071425,0.0,1.0763541069587912,3.9083948197610785,2.9328785354562097,2.116069499271267,6.622555352502021,2.2647388860110986,3.2211971714157284,3.922366340979795,4.7180246468135625,1.8094724007020313,3.658473533158572,4.133084526263534,3.573985299981107,3.162632188121305,5.526226153204795,6.537397794652385
