region_of_interest_acronym,Zdhhc1,Zdhhc2,Zdhhc3,Zdhhc4,Zdhhc5,Zdhhc6,Zdhhc7,Zdhhc8,Zdhhc9,Zdhhc11,Zdhhc12,Zdhhc13,Zdhhc14,Zdhhc15,Zdhhc16,Zdhhc17,Zdhhc18,Zdhhc19,Zdhhc20,Zdhhc21,Zdhhc22,Zdhhc23,Zdhhc24,Zdhhc25,Abhd4,Abhd6,Abhd10,Abhd11,Abhd12,Abhd13,Abhd16a,Abhd17a,Abhd17b,Abhd17c,Golga7,Golga7b,Lypla1,Lypla2,Ppt1,Selenok
MB,2.383958525440288,3.4365059714794652,2.909838470328453,1.1416711297517252,2.2521473943784907,2.3790216448729082,1.2657417236201731,2.4908790039864623,2.474481510995009,0.009694503203975779,0.29343097346065117,1.430048156066984,4.928887151418818,0.7737080745480786,0.8393073953584352,5.099023475605243,1.827784880219368,0.0715469460710708,6.085035335556107,4.001188988903597,1.574962344205383,0.5140235464478762,1.1549003668847302,2.8496549192814668e-05,2.1017510908083903,2.885485861053402,1.6912554345016684,1.20205447307487,5.305047151931822,1.376357797624328,2.215276620458765,3.33095809068117,5.06229043892094,1.431339702589078,3.940860014043199,2.1753351943420767,2.2852137576923464,1.9639991188208856,4.376013569005972,6.4161362083464075
MO-FRP,2.440555287248292,4.35379255182441,2.986414833177974,1.1975507922302042,2.2023966246458406,2.6168650809178375,1.6381355618112876,3.6168286771800604,2.3829669699879057,0.004723749921579625,0.27028780042024037,1.9490000828970169,4.891473280328147,0.6811293544608202,1.1700873095611326,4.739687937364773,1.9416330208502761,0.03979143805326131,4.925276839320227,4.6582105368796105,3.026864824830124,1.7234227085606397,1.4048198092229063,0.0,1.0530552017910644,3.900795431711034,1.2554968233247032,1.4211613161643781,6.054978445725998,1.7998852271085615,2.201640728730498,4.742623209804711,3.857532261246037,1.7140338406375608,3.8245750274188572,4.410211167951066,2.258394531987358,2.6321974625118165,4.50975392601714,6.266456951298489
MOp,2.562021373380687,5.473311250412743,3.7661295222184834,1.0879604564636867,2.368266176775027,2.914636023497241,1.5657875563739663,3.926327508922387,2.2753641338771198,0.009251413383459242,0.24027442084580988,2.1170803069067166,4.872272189127689,0.7313041327265943,1.230992665540553,5.278551726113862,1.8264072862559428,0.03873625380787067,5.056943354774713,5.51204714975709,3.865381941669815,2.0662543694605056,1.2681030531571869,0.0,0.5164928551714861,3.877891010445038,1.3315603579418211,1.3946181532447697,6.454963751240865,1.9995659814891356,2.2049099723876684,5.033494419460679,3.6193495840833,1.7477407600366943,4.006652593525066,5.555638730060031,2.3614528632949554,2.5438439935664796,4.671661300424477,6.903329790515525
MY,2.1979593388503638,2.531799380046289,2.7009996769574167,1.1088113460509665,2.147605180285891,2.1165968528396726,1.187932181614547,2.388924209806302,3.044021804415218,0.006613643070597062,0.35879224826744804,1.3876563802938162,5.82628156204842,0.6137484285179634,0.7851393346777633,5.152759990895571,1.736384003454369,0.0859932544880508,6.272727069638129,3.702851226941004,1.1544896775094724,0.39169982707779144,1.2266620954362366,0.00022386067872056514,2.6223747655596465,2.778538717460788,1.608163237114155,1.0102268137175479,5.154845083250791,1.2919864994808177,2.372688273188734,3.796731428867157,5.539657393971377,1.4214905118865238,4.526546292692267,1.9175318269016388,2.4402399235658665,1.774762958252436,4.349564816734264,6.610330992809014
OLF,2.0700782610206088,3.539619940475342,2.156023299933037,0.8714748429543131,1.3600254566971182,1.7761960448684206,1.2069783432796262,2.4370311138836653,1.489878619205166,0.0027786457811719797,0.19330586022155072,1.41378174612006,4.131415161271931,0.7187070379782236,0.892174425101819,4.07706488122646,1.4419498876264991,0.06546367141950658,3.902580238996559,3.708706444811339,1.6918452677996327,0.7310841692812685,0.8307924607259484,0.0,0.6826972961799446,2.9539914352841246,1.0466777368570248,0.9672242682064649,4.8518380962022,1.3600370805302178,1.5723681169310268,3.6548170369245097,3.512947451519551,1.518495113801471,3.1107914885923487,3.4376073076272666,1.5602231214761741,1.9418790035445097,3.44104708326385,5.511695162613822
P,2.0605415534211486,2.2950461141901246,2.4848276799289035,1.1372287248040478,2.0832620568925417,2.0543853031959443,1.251134663049975,2.2871064129758647,2.9962548769183734,0.008938069682760884,0.45457489785046024,1.2142493670122323,5.201103617664619,0.6097966090854051,0.7712700048747095,4.768120693198925,1.7621581005530162,0.08224249151892256,5.99207498229469,3.3917587678414667,1.0603700437103256,0.4704583417889853,1.1887946872857404,0.0006910158244896275,2.7913588633837176,2.750740758407323,1.5940420504712538,1.032667145569628,5.051645613157601,1.2548865287426905,2.280177495561859,3.679798361808792,5.41997840063258,1.313973764676448,4.463303409156567,1.258635906404658,2.3032900869261983,1.7125881616351546,4.214258609138722,6.687620500011333
PAL,2.132974987696611,3.7809893077422925,2.60693162076046,1.0607743654856954,1.9986708167480915,2.1762375248676027,1.271952767209546,2.448066770678467,2.3900314584544615,0.007843927481538874,0.34242771322273563,1.3788248733472985,5.8503121674494425,0.9599928134280723,0.8044583127872122,5.186916680134135,1.8638062609664656,0.07067491519968157,5.972694793322636,3.896040710832609,1.106589370943119,0.9552619494029555,1.1580935782033825,5.862047470011145e-05,1.7998599530418222,3.033252597316351,1.5017788662008476,0.9349327240145935,5.191824299506282,1.3693586650221385,1.9427357554367324,3.500284956757708,5.408292401195082,1.6860412455072027,3.956253725939161,1.7059404929202397,2.101266916747969,1.7415278087357737,4.1381556673956235,6.522040050414107
PL-ILA-ORB,2.6593237634124005,4.740294577962582,3.4460395795415018,1.2425308983153551,2.184153564785844,2.752214612289697,1.726988010366414,3.3750707374659994,2.6829908323288865,0.0064689887481890465,0.293391020626329,2.285173609580666,5.0819039434788245,0.9543400463958441,1.2749785804822225,5.0927349910134705,1.8895841389217682,0.04431649900826671,5.162971796576687,5.158510170561467,3.7469859277529634,1.803079549527254,1.4539796812180574,0.0,0.8453628910340262,3.9011991311700367,1.363778319621863,1.3920092566189788,6.214294932531166,1.9642696051144581,2.1160421330728267,4.545376566706829,4.009318821238478,1.9410106312916098,3.953965687944532,4.8568705571106445,2.390736717032545,2.83003102685901,4.763675689180537,6.419304248768171
RHP,2.237238054735578,3.788200404045956,2.9336494282408045,1.0468217048698496,1.8061991774042994,2.6158854019645617,1.281859784030548,2.3584358716406513,1.8892817211056698,0.012230851675293397,0.2141870870191755,1.6559555233319538,4.084743004823682,0.8183079089532038,1.0236991651571832,4.516953180693298,1.7384072053821384,0.03863715499338005,4.680902735655116,3.897278267379817,1.8491421705105289,1.9084882434232873,1.073588696461305,0.0,1.0237566910718583,3.3331204763992788,1.2961421992047497,1.1188462621305009,5.390391927514859,1.6459858440182347,1.7825793250758324,3.535726078603139,3.9746347068735277,1.8712637088348534,3.375769790871715,3.6602879452776436,2.269531442718257,2.022425108753497,4.213113556646028,5.82845905991117
RSP,2.1082172750785237,3.29744047201136,3.0223300467132375,0.9653606469934847,1.8618083235398641,2.594892120611539,1.2611899556946953,3.125864636839842,1.979043856657169,0.006962780704026585,0.20321460795601337,1.5022789522719804,3.4600992702692692,0.5987289324471841,1.0970022502377779,4.3989439694601575,1.7375891244927184,0.03696575584971346,4.336729499712341,4.426976597240719,2.3826760711150636,1.9531941470145058,1.2955556266977837,0.0,0.9259799672552869,3.4228063624639757,1.2542801862003101,1.3507353834344302,5.767923493538585,1.6161279448927803,1.9434444468199472,3.8886364411516747,3.71401885269747,1.4520016008416259,3.281542312732724,3.8738063324114593,2.111018966179038,2.3174445392566194,4.291978878678314,6.375207166318823
