class,Zdhhc1,Zdhhc2,Zdhhc3,Zdhhc4,Zdhhc5,Zdhhc6,Zdhhc7,Zdhhc8,Zdhhc9,Zdhhc11,Zdhhc12,Zdhhc13,Zdhhc14,Zdhhc15,Zdhhc16,Zdhhc17,Zdhhc18,Zdhhc19,Zdhhc20,Zdhhc21,Zdhhc22,Zdhhc23,Zdhhc24,Zdhhc25,Abhd4,Abhd6,Abhd10,Abhd11,Abhd12,Abhd13,Abhd16a,Abhd17a,Abhd17b,Abhd17c,Golga7,Golga7b,Lypla1,Lypla2,Ppt1,Selenok
12 HY GABA,3.202310113064998,5.85347199300976,2.9662393456097567,1.1149198478213915,2.1603403139153423,2.873764732403281,1.438597934068468,2.846145218591242,1.395233129852481,0.008695507992408208,0.15311892681906072,1.666423964724136,4.129351965136641,1.2646100925135066,0.9174816690578581,5.234165718180949,2.0313117451833245,0.13120459466104203,6.246560709900357,4.72856914769435,2.823098907264828,0.7802860887480951,1.0653665911795724,0.0003040407657243408,0.6896799857335523,3.4726065221276654,1.7933958957150329,1.6289704932811524,5.363136403397816,1.4625278397572825,2.2469923170839907,3.089428119997836,3.824246485056345,1.5198036133293304,2.980077783470714,3.5378521373285237,2.3551839678131543,2.2928200678518516,4.468074362433842,5.704819497359773
13 CNU-HYa Glut,3.4032473253162654,5.93895982447659,3.6017336352904543,1.4279088532597175,2.4230317584427414,2.9883509588069357,1.786809864839527,3.614101286833117,1.9123310963356275,0.007951755613444135,0.15605546454573352,2.057685938509807,5.188290434853311,1.7271513602346642,1.0977178239034358,5.4618480354426815,2.243256030986068,0.09009694111638143,6.220966928229886,5.140807440448697,3.620947430093896,1.4359062598755443,1.4763121986410035,0.0,0.7363980979487321,4.3981257420341855,1.7497650590130285,1.5493505160918417,5.9129324289019,1.6071521527529466,2.262683282306083,3.9433628080866328,4.4163082536388645,1.892681556928989,3.041735248710755,4.647327938812547,2.276130388591174,2.7238799391056916,4.763500609386929,5.767347770229372
14 HY Glut,3.5652666685900978,5.730678047666723,3.0827785198632696,1.409638210299991,2.1554035748274227,3.033732521545356,1.6972923852217663,3.303046247896635,1.553106743286662,0.009104053620780709,0.17680509476184447,1.9959117245370879,4.016672465168531,1.4500615580611853,1.0040096223503832,5.389731783188045,2.0106165910420644,0.14715286720600604,6.695939974354599,4.789008322723675,3.25680670923804,0.9743851397102429,1.2344140564862878,0.00024482269348614704,0.7956215608159829,3.681479335436325,1.899640270206616,1.8004870921761336,5.556752130262857,1.3391831770537503,2.508614772670687,3.3612483874822936,4.031821559200318,1.6008162201767853,2.855827712124997,4.067054606467809,2.307474254027755,2.486957787356894,4.734244283565011,5.723396503987968
15 HY Gnrh1 Glut,4.030767334693389,7.706355379514045,2.9409764499564446,1.1317153975601595,1.7336232674683576,2.619038659240563,1.4503468867995977,3.952723202280973,1.6331121259958956,0.0,0.6928704246800608,1.4003103915309407,5.737584813103002,2.526944860737985,0.7142875631442245,4.70248861213005,1.3467034469724326,0.08454661843664359,5.214430903889122,4.333893794663914,0.15533033091360363,0.6741382938404982,1.2486689178107298,0.0,1.4144824524824533,2.5634173098659017,1.9440545024672105,2.6866286687201852,5.258946800731239,1.134336359213784,3.2384140304245874,3.621716242186062,4.648076052441023,2.0851305891706056,3.1320505616552543,3.3192411742285284,2.6802690353693137,2.832712542948298,3.8476675230795174,7.1645069971134525
16 HY MM Glut,3.5995313923808667,5.202958235181516,4.105640409866217,1.422207759560587,3.0132061253649773,2.737180829534371,1.8815580369257527,3.935916325078771,1.733502336114493,0.004977831177180124,0.09547732616113383,1.954788581177169,1.6521419307565655,0.5595270357770983,1.2033075601274916,4.907008037789408,2.289405356561365,0.07920369718166832,5.886107697177784,4.289970734617785,3.5753770109865672,2.633273802546802,1.4400989041741712,0.0,0.7284326377265746,3.472115390733134,2.0079076435126617,1.8230672302857334,5.622769634687197,1.9606285266258034,2.722082489142866,4.0504008984965125,3.7724161792825974,1.7823304568948488,3.0177316331203543,4.2566354339520425,2.724605518887708,2.756241756482274,5.206051603408947,5.764713209402969
17 MH-LH Glut,2.8887089063198124,4.504040047185999,3.2276587573709374,1.2229896527478954,2.5649152531707964,2.575978112508549,1.126240667105828,3.182557992107246,1.6729163096365047,0.006845633985825789,0.15452442195754199,1.9472179470620115,4.920683791666199,0.8637144637085712,1.042734315224898,4.30307801723923,4.617475722648528,0.1894908237811472,4.464659828329485,4.3025554389564,1.780691650606685,0.18056993055033707,1.2137229317742138,0.0,1.0419163832093348,2.490645423728001,1.8762916991748295,1.8518622636130926,4.1115003032826,1.6968798750068927,2.073551190463945,3.491527450737736,3.6055966075748453,1.0054877514958713,3.500381629845558,4.9742086739482545,2.9546702823709756,2.775990560105695,4.377219385511917,5.980407260586625
18 TH Glut,2.605502383086943,4.8632986523063995,4.074256183342862,1.5312565198280448,3.3856224476428034,2.680229271261173,1.9874626259488872,3.6754749038643166,2.691478525265572,0.0031433143297227946,0.13412566341848353,1.7609841162333608,5.8320349259219135,0.6060962677001953,1.630515313030943,6.023732881004894,2.672670358867792,0.06593989869548118,4.270579848659015,5.393085359720265,7.186660098574608,0.3974290702302927,1.7651588459841128,0.0,0.5986875840929007,4.305451254635131,1.5878886569460604,1.7332915248830025,6.454399970884308,2.727070482503122,2.3623171812359907,5.021869629121792,4.381599171760937,1.0821069621201824,4.2914124574582,2.6960674531341984,3.727049081772056,3.9027923444434274,4.772384660026914,6.982180506533049
19 MB Glut,3.1618956088786403,5.862272644493494,4.038214264747688,1.2722800401007222,2.8582456101465574,3.135885447147032,1.5505793434763977,3.391120354838833,1.8649388300580647,0.015029164757343474,0.12149465620236893,1.9341073874907027,4.524485344916525,1.1146013799339594,1.0523445746551205,5.870496226077738,2.2112543138600795,0.07291089582438491,6.36833495801126,5.319558473992533,2.9166647183099275,0.7904293703150042,1.3825004265207754,5.498016843340742e-05,0.8460547194380269,3.4333957776479678,2.084315681198042,1.731728734913688,6.251129140709666,1.6691999916585267,2.5462791661101067,3.5429589741954968,4.414589705820208,1.6642447416918762,2.944149631100839,4.289000910877335,2.4610783649298607,2.741160667105165,4.935090838494238,6.025491629277191
20 MB GABA,2.9043738305632636,4.396610591857782,3.744639791398572,0.999466824228126,2.9916311008803023,3.038697472959321,1.3844475716770985,2.6861487108496913,1.773837428114929,0.010729061588223551,0.1172489971532816,1.9106646547145212,4.351584457984346,0.8668058792796544,1.0169982788435823,5.729187163096179,2.194360176916938,0.05686084371876107,6.1864015461467545,5.285070305761013,3.032710711873366,0.5273694332339551,1.169959718999817,4.670239283091286e-05,0.8495044196433251,3.703243974663836,2.0909858816881868,1.5850623227482956,5.9772539035907055,1.8764356369945026,2.3434521535671964,3.202202098293334,4.151145257141499,1.5532573147611308,3.298444310283484,3.4959374763694964,2.8111447011701354,2.5479830852203813,5.016432315779634,5.953446291571638
21 MB Dopa,3.588699883678519,7.095980152643661,4.07097839971,1.5268747301551804,3.748377567944042,3.4922755069439977,2.03208698070041,4.289810506722673,2.703486243782141,0.02471423697898455,0.3381318437362987,2.3695667220170873,4.984138002065247,2.2552175789039044,1.417117362520191,6.1887038202514155,3.022176456739669,0.16462516851187917,6.888602993649623,6.040703640791239,2.4341542607710767,1.5013737902478324,2.113148342479359,0.0,1.1323292154513025,3.3265666910116964,3.1004338972902774,2.421919251009354,6.318364705742306,2.237090366492574,3.5617877848895034,4.1711489796721635,4.853904636813662,1.8465424972588282,3.959318141886257,4.599694587551863,3.611133340457738,3.401255664923002,5.370290937825043,6.743893630669245
