supertype,Zdhhc1,Zdhhc2,Zdhhc3,Zdhhc4,Zdhhc5,Zdhhc6,Zdhhc7,Zdhhc8,Zdhhc9,Zdhhc11,Zdhhc12,Zdhhc13,Zdhhc14,Zdhhc15,Zdhhc16,Zdhhc17,Zdhhc18,Zdhhc19,Zdhhc20,Zdhhc21,Zdhhc22,Zdhhc23,Zdhhc24,Zdhhc25,Abhd4,Abhd6,Abhd10,Abhd11,Abhd12,Abhd13,Abhd16a,Abhd17a,Abhd17b,Abhd17c,Golga7,Golga7b,Lypla1,Lypla2,Ppt1,Selenok
0548 MPN-MPO-PVpo Hmx2 Glut_3,3.709862297334467,6.600851634335914,3.0902457248569952,1.4402773284006005,2.330701463012967,3.4765318901125437,2.2724576316366853,3.752427315202292,1.6695485820113338,0.00758372236600681,0.25897748679842914,2.3079992300540986,4.499033737069354,1.546912571030388,1.1065924612190265,5.633135452972739,1.967028488739086,0.3426570093829955,7.244409984760782,4.971620396593687,3.0872783836446294,1.088814680480051,1.304631870885926,0.0,0.8267476717253479,4.258429771930758,2.195819858417375,1.632312316509437,5.718399179802938,1.2953426067732858,2.6721968010882016,3.5509569339117926,4.321097433991783,1.9846314188986662,2.942666589505882,6.063788334717377,2.643825779051792,2.803327278966292,4.9390972991454065,6.08359883686709
0549 MPN-MPO-PVpo Hmx2 Glut_4,3.899922183302582,6.230831318214292,3.438062760347877,1.7372173132792197,2.6462464485663535,3.6973197671885045,1.9134364437535811,3.796314556741975,1.5863625703613615,0.007019414927790074,0.21551883676664427,2.7671283268537676,4.777584921466849,1.866686484852775,1.0401175813596757,5.754781183649282,2.361683308752508,0.21765785985957078,7.101796595776667,5.05653030950515,4.05542848149284,0.8518361784721333,1.7062128557533514,0.0,0.9206119811600023,4.313567743601044,2.0009172291703563,1.928260016311062,6.269373951713895,1.458583629196459,2.6937770990074656,3.6956145105466165,4.616652444412148,2.053043421826076,3.0237376087350274,4.723181138273145,2.2663144576744956,2.670269996742082,5.2720363394158785,5.674975591279119
0550 MPN-MPO-PVpo Hmx2 Glut_5,3.7610638579209916,6.976056020419348,2.20263505759002,1.1456590901108181,1.7882926852584498,3.1539748929581553,1.643648025715535,3.201785317416052,1.1777984805622395,0.0,0.25135982997626016,1.956147233985914,5.23630403449973,1.1352605091768921,1.1099046041380685,5.409654073404407,1.994509876081097,0.4317875227429241,6.83072181426845,4.315857272205386,2.3025648540738923,0.9415657925155928,1.093854795393772,0.0,0.7526981572957636,4.168312802322937,2.106185726604167,1.9338454693095761,4.801404166180723,1.1907339922150861,2.6370533833577334,3.0888246639310597,3.922325035311141,1.7302529848664743,2.856840973652861,4.336501365255941,2.450324587715633,2.1917568856201695,3.8488197997340206,6.14010749754734
0551 MPN-MPO-PVpo Hmx2 Glut_6,4.387782253047669,6.885720970021288,2.307625561139128,1.5487258807009563,2.0964442660140046,3.2145398662936304,1.7551519817513213,3.2250610794086314,1.1337243960453913,0.016323845676393722,0.22058389086285538,2.0339975215069415,3.775423327983165,0.9763893110876344,1.0186710180183203,5.526071326016788,1.727216835353274,0.34294388016163563,6.561703911490239,4.723110784667893,3.335552185995703,0.9364655568049505,1.3667129381714624,0.0,1.0994794055190926,4.352796119140928,1.5791583960464515,1.6727069163736574,5.062970698619303,1.1600745972569468,2.7350867687916343,3.2421163992018025,4.2873118402940165,1.7867129825185013,2.355347807294973,3.6533047105774985,2.2223761785710714,2.303809275993934,4.472155668007825,5.419844709022465
0552 DMH Hmx2 Glut_1,3.3261109513582987,6.0228485279784065,2.829655348011612,1.240185672263758,2.2076601773766797,2.9543528080933616,1.6307243278033683,3.0546675796186795,1.5386118173836005,0.023511066929230977,0.09526551610308347,2.309314646100572,3.6806980450790237,1.7005704289751706,1.0155689948365136,5.206580648592709,2.0755876999981,0.20149156590322514,6.71889647826656,4.730687682417914,5.027365821120519,1.0195428129459445,0.9533948060180604,0.0,0.6825136475435198,3.604513769235014,1.9153169165064823,1.8909832259275707,5.105118222601246,1.1536536051002964,2.4054090671293076,3.1041969365136035,4.061876997810371,1.6624775823083628,2.7516599897121363,4.085828024202212,2.381666370039545,2.297249148595179,4.667593650571639,5.808591874614136
0553 DMH Hmx2 Glut_2,3.672967178944014,6.01043603931669,2.234861342208263,1.3561189830123117,2.2073154622334368,3.78339528893416,1.830681574668769,2.7808516911509535,0.9594424930584035,0.0,0.17170474608499117,2.071228955087345,4.69035888942707,2.0006063639937572,1.0128262482380939,5.517797176211262,2.0110286758745546,0.1161415497702054,6.789865440472375,4.9922456208312616,2.5679218171226292,1.041227640342136,1.1577218277576826,0.0,0.7568297026020523,3.350090219895285,1.9754333352034186,1.3210602887087357,4.9043060429506795,1.1178349123260405,2.6216503140429355,2.80727083661405,4.005137194319434,1.249576506657903,2.637982208563122,3.29362831663149,1.8328653908928356,2.42448161952085,4.738798359009435,5.6513176843118815
0554 ARH-PVp Tbx3 Glut_1,3.4483218243247586,5.884631732472203,2.4968550068593163,1.4527527491251628,1.8652047079208998,3.291204653288189,1.531208220141673,3.422664147092585,1.563969612121582,0.014521595469692297,0.22150711706507276,1.6679056017022384,2.7531095030712107,1.241756097893966,0.9209059135258546,5.131734922754834,2.073913876494469,0.26707282428852996,6.972317025814837,3.9466865567435994,4.512136234595761,0.9501799644782529,1.0646151871709097,0.0,0.8358301714846962,3.1168050615411054,1.8158297265482228,1.6817128376654018,5.5544525308218615,1.25575455615395,2.47346638238918,3.1438866124515643,3.6146398839894793,1.602519575197097,3.0678862242670784,3.7535651926408735,2.3145650389598824,2.3876122229280528,4.874868315423441,5.590950205172712
0555 ARH-PVp Tbx3 Glut_2,3.470844765562466,5.886624371550999,2.524325082204209,1.3608337081422555,2.1309000620744096,3.3531084513384575,1.7796447367961805,3.945336473827138,1.1872808793423113,0.0070130094405143496,0.2948401201505465,2.206523148195485,4.470871635196495,1.683125709508521,0.9696913337078262,5.294243502651841,2.4966293342651857,0.3114318686846065,6.82062835427673,4.378727270011678,3.367153818831066,1.1403142766169438,1.1071674168284686,0.0,0.847921090916105,3.9168854018460273,2.2753877935171825,1.6784807558982604,5.165091403768209,1.341092663426553,2.511536494727708,3.500024061748359,3.96200501219618,1.7740157669590366,3.1759981677329434,4.040121093348674,2.8605633376280934,2.8731293704502745,4.620223827376044,6.2500769742423135
0556 ARH-PVp Tbx3 Glut_3,3.8666237478914414,5.514420886046736,2.0322212406192057,1.2162947262611332,1.6933573363636034,3.2369760437683914,1.4698193342850248,3.387803193230986,0.9389132298036819,0.015158737633546894,0.14526543008073312,2.0356785456339517,2.1144814515779022,1.1336791431326172,0.6817440279429879,5.341054840760084,1.7361835026005816,0.2466625148504316,7.26807239262193,3.9308619737275023,2.3798813798879213,0.4694521539186766,1.0579980760593946,0.0,0.8611630028039874,4.055943157879441,1.827191593013321,1.1194500229957345,4.306438124652476,1.1580811558666033,2.2077516651713727,3.169245572167171,4.473186422549681,1.7908075689044118,3.2163977311396215,3.5732100822151844,2.6981786883349987,2.332313695142973,4.303639296393038,5.919672134514247
0557 ARH-PVp Tbx3 Glut_4,3.289362246428079,6.371005073795474,3.4006311806236824,1.649059035913731,2.8688966801496054,3.454879921626269,1.6085554642405937,3.70561845806556,1.848641387815398,0.04259018781708508,0.39415011367177577,1.8629266246547544,4.114273567509845,1.555428529173378,1.155792614308799,5.631424731355373,2.233986323441916,0.3701000233006671,7.0687580089258955,5.078133348526993,4.683288837836041,1.605593244234721,1.5607321902019222,0.0,0.6961686049050432,3.8501437117413775,1.91550090351725,1.4417178252848184,5.831983513948394,1.870086454763645,2.635296757628278,3.8081020320334087,4.225308018971265,1.9043202167604028,3.212260077639324,4.603954107780766,2.0889256843706456,2.660328791393497,5.028183225693741,5.7143396788496315
0558 ARH-PVp Tbx3 Glut_5,3.0150512532984957,5.736965253843484,3.6286242836756064,1.0679631351579166,2.71596304406511,3.0220587135206722,1.3292207007712507,4.144324206291361,1.5693397606518251,0.0,0.09492529030387284,1.7132285503630942,3.535212596257528,1.1663827625572258,0.7777838318060476,5.4932231429620835,2.028929389114921,0.1487005281110182,6.672244469324748,4.479017729454852,5.65089295772796,0.313009020284558,0.9657582543420453,0.0,0.5167111606462628,2.6245819355579134,1.9745584886970249,1.5074778110422986,5.276428134728831,1.5140368397354234,2.5733576429651137,2.8625743236947567,4.351055557846178,1.6428247089927077,2.9913145853272565,4.039033292878604,2.2264523252527764,2.6273035986203674,4.587318638537792,5.615396920670855
0559 DMH-LHA Vgll2 Glut_1,3.726179588408697,5.883626472382319,3.4057948021661666,1.3719732761383057,2.4936162517184304,2.873020115352812,2.0726392609732494,4.237752744129726,1.2322439125605993,0.0,0.11243134453183129,1.092537800470988,3.3953978447687057,0.4771926062447684,0.607905524117606,5.220827965509324,1.0923628920600528,0.0,6.887705076308477,4.546490237826393,5.332642918541318,0.5249107338133312,1.4101762885139102,0.0,0.499677680787586,2.5382546924409413,2.040515831538609,1.538702510652088,5.922496227991013,1.2387795675368536,2.0737390972319103,3.7203650701613653,2.9719238848913285,0.6848025435493106,2.3584992544991628,2.803373779569353,1.1651131198519753,3.092192774727231,5.137285675321307,5.923376094727289
0560 DMH-LHA Vgll2 Glut_2,2.830886510354054,7.622930083093764,3.538049159170706,1.736390008202082,2.938485311556466,3.895788779741601,1.6362071278729016,5.080066312717486,2.143895117542412,0.1504843385913704,0.44302741937999485,2.349505551253693,4.026683218871491,0.9421670602846749,1.0616808873188646,5.371739957906023,3.7385870354085027,0.34605981579309775,6.924584630169446,5.495109926296186,3.646789443643787,0.9991125788869737,1.8835920699035065,0.0,0.7425462701652623,2.487498497661156,2.4798538443408433,1.8574580105045173,6.422105318383325,1.7366282713564136,3.258047004289265,4.629508391211305,4.625913374031646,1.4761806424660018,4.155793760396257,4.814224833174597,3.052741059774085,4.15036369426341,5.409301261358623,6.867872754229775
0561 DMH-LHA Vgll2 Glut_3,3.9357251443806485,6.536349068026571,2.1996583600016035,1.4534006259850496,1.599188245965179,2.6962159738032776,1.9468645626271264,3.707242415501521,1.1160821406798955,0.0,0.1976403907911312,1.712560569040874,5.795459645739673,1.699325660276695,0.768020011969572,4.9365295743095805,1.9928234681575256,0.20061978785949347,6.264381846027262,4.049965076897976,4.752417019838412,1.004898505803396,0.7694172323102781,0.0,0.6319062131396412,3.070698120184904,1.6191960735433906,1.7103138364983734,4.586944238674006,1.0378711632722935,2.492285370121341,2.667435835099079,3.896544701954317,1.293185180460913,2.710305874164288,3.4808422207126957,2.3796381724656688,2.4170769798685106,4.5014034248668064,5.747478400461772
0562 DMH-LHA Vgll2 Glut_4,4.3105107596876095,5.935851571160995,2.3417878809606054,1.2697312117550623,2.2436961756606046,3.094398772206288,1.7871176426512723,3.6074289357151965,1.6681882936203063,0.020866858820043185,0.20404236511497645,2.531009244547744,4.6977526594228785,2.049328214927406,0.9825850405117881,5.056138062755421,2.3289728572860304,0.25115270280652474,6.911317187060642,5.148837426293221,4.236941008252392,1.1322692628036677,1.0940098957328945,0.0,0.9069527948876763,3.287654751469653,2.0567723944029455,1.7321217969233889,4.840968573603648,1.2943714676200184,2.24832664853404,3.113037567658183,4.067543517754699,1.585151110177838,2.864793195798703,3.4101989454796344,3.000542812310304,2.520135071490989,4.5316792146705005,5.894452313968643
0563 VMH Fezf1 Glut_1,3.8509656875428133,6.798156548635735,3.2173633553157344,1.5894345038900246,2.2174972373748494,2.7363734438411913,2.276508172353109,3.001316136907813,1.855767339684634,0.0050277759476737936,0.18772386588535328,2.290728942627476,4.05792696602248,1.849940199470718,1.1254163862883984,5.082550441488422,2.339568875165248,0.09715938568115234,6.411972491045484,4.894960908998705,3.438810213827765,2.0744423116107598,1.4656235570105436,0.0,0.5585602040355203,4.215284786244172,2.0493594624666907,1.9711832656048291,5.669637862767015,1.658308508487753,2.314230293252139,3.6185992217138176,4.480712279104865,2.1334377587893796,3.083577076346456,4.644406994555227,2.955297521589206,2.847750644446162,4.920798254656767,5.319602710807064
0564 VMH Fezf1 Glut_2,3.7676976361041024,6.6480890707626585,3.0584457037471258,1.8048116357781467,2.124755419580979,3.2632920916063073,2.246579290555093,3.5904927711168595,1.4479059926909128,0.014991440539315296,0.4106125791826139,2.0845676818406123,2.9853004350155063,1.773071820345611,0.9665572814822073,5.43925623152875,2.0939955915226305,0.23083671464412875,6.896693135202863,4.30087672383743,3.6378256789834955,1.5419603632190055,1.603685105306886,0.0,0.9117910978816473,3.7808387883636825,1.9066204880524478,1.7168819946591374,6.439784183740865,1.4461767074338339,2.5554163383865753,4.233283485187853,4.388090121733633,1.863584759337313,2.9599512602912497,5.168263483594431,2.1020032059288623,2.7744847775997283,5.055905991475699,5.717886743754366
